study_id,time_h,conc_g_per_L,dose_g_per_kg,route,food,BW_g,site
Kozawa-2007,0,0,0.5,IV bolus,fed,350,venous
Kozawa-2007,0.083,0.66,0.5,IV bolus,fed,350,venous
Kozawa-2007,0.33,0.53,0.5,IV bolus,fed,350,venous
Kozawa-2007,0.66,0.4,0.5,IV bolus,fed,350,venous
Kozawa-2007,1,0.28,0.5,IV bolus,fed,350,venous
Kozawa-2007,1.33,0.15,0.5,IV bolus,fed,350,venous
Kozawa-2007,1.66,0.05,0.5,IV bolus,fed,350,venous
Kozawa-2007,2,0.03,0.5,IV bolus,fed,350,venous
Kozawa-2007,0,0,1,IV bolus,fed,350,venous
Kozawa-2007,0.083,1.62,1,IV bolus,fed,350,venous
Kozawa-2007,0.33,1.26,1,IV bolus,fed,350,venous
Kozawa-2007,0.66,1.08,1,IV bolus,fed,350,venous
Kozawa-2007,1,0.86,1,IV bolus,fed,350,venous
Kozawa-2007,1.5,0.75,1,IV bolus,fed,350,venous
Kozawa-2007,2,0.46,1,IV bolus,fed,350,venous
Kozawa-2007,2.5,0.29,1,IV bolus,fed,350,venous
Kozawa-2007,3,0.12,1,IV bolus,fed,350,venous
Kozawa-2007,3.5,0.02,1,IV bolus,fed,350,venous
Kozawa-2007,4,0.01,1,IV bolus,fed,350,venous
Kozawa-2007,0,0,1.5,IV bolus,fed,350,venous
Kozawa-2007,0.083,2.59,1.5,IV bolus,fed,350,venous
Kozawa-2007,0.33,2.2,1.5,IV bolus,fed,350,venous
Kozawa-2007,0.66,1.84,1.5,IV bolus,fed,350,venous
Kozawa-2007,1,1.77,1.5,IV bolus,fed,350,venous
Kozawa-2007,1.5,1.5,1.5,IV bolus,fed,350,venous
Kozawa-2007,2,1.16,1.5,IV bolus,fed,350,venous
Kozawa-2007,2.5,0.91,1.5,IV bolus,fed,350,venous
Kozawa-2007,3,0.66,1.5,IV bolus,fed,350,venous
Kozawa-2007,3.5,0.47,1.5,IV bolus,fed,350,venous
Kozawa-2007,4,0.34,1.5,IV bolus,fed,350,venous
Kozawa-2007,4.5,0.18,1.5,IV bolus,fed,350,venous
Kozawa-2007,5,0.09,1.5,IV bolus,fed,350,venous
Kozawa-2007,5.5,0.02,1.5,IV bolus,fed,350,venous
Kozawa-2007,6,0,1.5,IV bolus,fed,350,venous
Kozawa-2007,0,0,2,IV bolus,fed,350,venous
Kozawa-2007,0.083,3.51,2,IV bolus,fed,350,venous
Kozawa-2007,0.33,3.21,2,IV bolus,fed,350,venous
Kozawa-2007,0.66,3.05,2,IV bolus,fed,350,venous
Kozawa-2007,1,2.99,2,IV bolus,fed,350,venous
Kozawa-2007,1.5,2.67,2,IV bolus,fed,350,venous
Kozawa-2007,2,2.21,2,IV bolus,fed,350,venous
Kozawa-2007,3,1.89,2,IV bolus,fed,350,venous
Kozawa-2007,4,1.39,2,IV bolus,fed,350,venous
Kozawa-2007,4.5,1.22,2,IV bolus,fed,350,venous
Kozawa-2007,5,1.11,2,IV bolus,fed,350,venous
Kozawa-2007,5.5,0.81,2,IV bolus,fed,350,venous
Kozawa-2007,6,0.6,2,IV bolus,fed,350,venous
Kozawa-2007,6.5,0.4,2,IV bolus,fed,350,venous
Kozawa-2007,7,0.27,2,IV bolus,fed,350,venous
Kozawa-2007,7.5,0.12,2,IV bolus,fed,350,venous
Kozawa-2007,8,0.08,2,IV bolus,fed,350,venous
